315,United States,New York,NY,"Syracuse, Utica, Watertown"
316,United States,Kansas,KS,"Wichita, Parsons, Great Bend"
317,United States,Indiana,IN,Indianapolis
318,United States,Louisiana,LA,"Shreveport, Monroe, Alexandria"
319,United States,Iowa,IA,"Dubuque, Davenport, Iowa City, Burlington"
320,United States,Minnesota,MN,"Saint Cloud, Morris, Hutchinson"
321,United States,Florida,FL,Orlando
323,United States,California,CA,Los Angeles
330,United States,Ohio,OH,"Akron, Canton, Youngstown"
334,United States,Alabama,AL,"Birmingham, Tuscaloosa"
336,United States,North Carolina,NC,Winston Salem
337,United States,Louisiana,LA,"Lafayette, Lake Charles"
340,Virgin Islands,(All Locations),,(All Locations)
345,Cayman Islands,(All Locations),NA,(All Locations)
347,United States,New York,NY,"Bronx, Queens, Brooklyn, Staten Island"
352,United States,Florida,FL,"Gainesville, Ocala"
360,United States,Washington,WA,"Olympia, Bellingham, Aberdeen"
361,United States,Texas,TX,"Corpus Christi, Victoria"
385,United States,Utah,UT,"Provo, Ogden"
401,United States,Rhode Island,RI,(All Locations)
402,United States,Nebraska,NE,"Omaha, Lincoln"
403,Canada,Alberta,NA,"Calgary, southern portion"
404,United States,Georgia,GA,Atlanta
405,United States,Oklahoma,OK,"Oklahoma City, Edmond"
406,United States,Montana,MT,(All Locations)
407,United States,Florida,FL,Orlando
408,United States,California,CA,"San Jose, Sunnyvale, Los Gatos"
409,United States,Texas,TX,"Beaumont, Galveston"
410,United States,Maryland,MD,"Baltimore, Cambridge"
412,United States,Pennsylvania,PA,Pittsburgh
413,United States,Massachusetts,MA,"Springfield, Pittsfield"
414,United States,Wisconsin,WI,Milwaukee
415,United States,California,CA,"San Francisco, Novato, San Rafael"
416,Canada,Ontario,NA,Toronto
417,United States,Missouri,MS,"Springfield, Joplin"
418,Canada,Quebec,NA,Quebec
419,United States,Ohio,OH,"Toledo, Sandusky, Bowling Green"
423,United States,Tennessee,TN,"Chattanooga, Sweetwater, Bristol"
425,United States,Washington,WA,Seattle area
435,United States,Utah,UT,"Logan, Blanding, Richfield"
440,United States,Ohio,OH,"Ashtabula, Elyria"
441,Bermuda,(All Locations),NA,(All Locations)
443,United States,Maryland,MD,"Baltimore, Cambridge"
450,Canada,Quebec,NA,Laval
456,(Not Applicable),(All Locations),NA,Inbound International
469,United States,Texas,TX,"Dallas, Plano"
473,Grenada,(All Locations),NA,(All Locations)
478,United States,Georgia,GA,"Macon, Warner Robins, Swainsboro"
480,United States,Arizona,AZ,"eastern Phoenix area, Chandler"
484,United States,Pennsylvania,PA,"Allentown, Reading"
500,(All Values),(All Locations),NA,Personal Communication Service
501,United States,Arkansas,AR,"Little Rock, Fayetteville, Hot Springs"
502,United States,Kentucky,KY,"Louisville, Frankfort"
503,United States,Oregon,OR,"Portland, Salem, Tillamoon, Astoria"
504,United States,Louisiana,LA,"New Orleans, Houma"
505,United States,New Mexico,NM,(All Locations)
506,Canada,New Brunswick,NA,(All Locations)
507,United States,Minnesota,MN,"Rochester, Mankato, Marshall, Worthington"
508,United States,Massachusetts,MA,"Worcester, Attleboro, New Bedford, Hyannis"
509,United States,Washington,WA,"Spokane, Yakima, Walla Walla"
510,United States,California,CA,"Oakland, Hayward"
512,United States,Texas,TX,Austin
513,United States,Ohio,OH,"Cincinnati, Middletown"
514,Canada,Quebec,NA,Montreal
515,United States,Iowa,IA,"Des Moines, Fort Dodge"
516,United States,New York,NY,Elmont
517,United States,Michigan,MI,"Lansing, Jackson, Alpena"
518,United States,New York,NY,"Albany, Saranac Lake, Plattsburgh"
519,Canada,Ontario,NA,"Windsor, London"
520,United States,Arizona,AZ,non-Phoenix areas
530,United States,California,CA,"Redding, Chico, Alturas"
540,United States,Virginia,VA,"Roanoke, Harrisonburg, Fredricksburg, Winchester"
541,United States,Oregon,OR,"Eugene, Bend, Medford, Burns"
559,United States,California,CA,Fresno
561,United States,Florida,FL,"West Palm Beach, Boca Raton"
562,United States,California,CA,Long Beach
570,United States,Pennsylvania,PA,"Scranton, Williamsport"
571,United States,Virginia,VA,Alexandria
573,United States,Missouri,MS,"Jefferson City, Hannibal"
580,United States,Oklahoma,OK,"Enid, Woodward, Lawton"
600,Canada,(All Locations),NA,Canadian Services
601,United States,Mississippi,MN,"Jackson, Mc Comb"
602,United States,Arizona,AZ,Phoenix
603,United States,New Hampshire,NH,(All Locations)
604,Canada,British Columbia,NA,Vancouver area
605,United States,South Dakota,SD,(All Locations)
606,United States,Kentucky,KY,"London, Morehead, Pikeville"
607,United States,New York,NY,"Elmira, Binghamton"
608,United States,Wisconsin,WI,"Madison, La Crosse"
609,United States,New Jersey,NJ,"Trenton, Atlantic City, Brown Mills"
610,United States,Pennsylvania,PA,"Allentown, Reading"
612,United States,Minnesota,MN,Minneapolis
613,Canada,Ontario,NA,Ottawa
614,United States,Ohio,OH,Columbus
615,United States,Tennessee,TN,Nashville
616,United States,Michigan,MI,"Kalamazoo, Grand Rapids"
617,United States,Massachusetts,MA,Boston
618,United States,Illinois,IL,"Mount Vernon, Carbondale"
619,United States,California,CA,San Diego
623,United States,Arizona,AZ,"western Phoenix area, Peoria, Buckeye"
626,United States,California,CA,Pasadena
630,United States,Illinois,IL,Aurora
631,United States,New York,NY,eastern Long Island
636,United States,Missouri,MS,"Union, Chesterfield"
641,United States,Iowa,IA,"Mason City, Creston"
646,United States,New York,NY,New York
647,Canada,Ontario,NA,Toronto
649,Turks and Caicos Islands,(All Locations),NA,(All Locations)
650,United States,California,CA,"Palo Alto, San Mateo"
651,United States,Minnesota,MN,"Saint Paul, Lindstrom, Red Wing"
660,United States,Missouri,MS,"Macon, Marshall, Sedalia"
661,United States,California,CA,Bakersfield
662,United States,Mississippi,MN,"Tupelo, Columbus, Greenville"
664,Montserrat,(All Locations),NA,(All Locations)
670,Northern Mariana Islands,(All Locations),NA,(All Locations)
671,Guam,(All Locations),NA,(All Locations)
678,United States,Georgia,GA,Atlanta
682,United States,Texas,TX,Fort Worth
700,(Not Applicable),(All Locations),NA,Interexchange Carrier Services
701,United States,North Dakota,ND,(All Locations)
702,United States,Nevada,NV,Las Vegas
703,United States,Virginia,VA,Alexandria
704,United States,North Carolina,NC,"Charlotte, Kingstown"
705,Canada,Ontario,NA,"Sudbury, Sault Ste Marie"
706,United States,Georgia,GA,"Athens, Augusta, Toccoa, Dalton, Rome"
707,United States,California,CA,"Santa Rosa, Ukiah, Eureka"
708,United States,Illinois,IL,Chicago Heights
709,Canada,Newfoundland,NA,(All Locations)
710,United States,(All Locations),NA,US Government
712,United States,Iowa,IA,"Sioux City, Council Bluffs"
713,United States,Texas,TX,Houston
714,United States,California,CA,"Orange, Huntington Beach"
715,United States,Wisconsin,WI,"Wausau, Eau Claire"
716,United States,New York,NY,"Buffalo, Rochester, Jamestown"
717,United States,Pennsylvania,PA,"Harrisburg, Gettysburg"
718,United States,New York,NY,"Bronx, Queens, Brooklyn, Staten Island"
719,United States,Colorado,CO,"Colorado Springs, Pueblo"
720,United States,Colorado,CO,"Denver, Boulder"
724,United States,Pennsylvania,PA,"New Castle, Uniontown"
727,United States,Florida,FL,Clearwater
732,United States,New Jersey,NJ,"Lakewood, New Brunswick, Neptune"
734,United States,Michigan,MI,Ann Arbor
740,United States,Ohio,OH,"Cambridge, Jackson, Lancaster, Marietta"
757,United States,Virginia,VA,Norfolk
758,Saint Lucia,(All Locations),NA,(All Locations)
760,United States,California,CA,"Indio, Ridgecrest, Bishop, Blythe"
763,United States,Minnesota,MN,Maple Grove
765,United States,Indiana,IN,"Lafayette, Marion, Muncie, Richmond"
767,Dominica,(All Locations),NA,(All Locations)
770,United States,Georgia,GA,"Roswell, Marietta, Cedartown, Griffin"
773,United States,Illinois,IL,Chicago
775,United States,Nevada,NV,"Reno, Carson City, Elko, Ely, Tonopah"
780,Canada,Alberta,NA,"Edmonton, northern portion"
781,United States,Massachusetts,MA,"Norwood, Weymouth, Saugus"
784,Saint Vincent and the Grenadines,(All Locations),NA,(All Locations)
785,United States,Kansas,KS,"Topeka, Saline"
786,United States,Florida,FL,Miami
787,Puerto Rico,(All Locations),NA,(All Locations)
800,(All Values),(All Locations),NA,Toll-Free
801,United States,Utah,UT,Salt Lake City
802,United States,Vermont,VT,(All Locations)
803,United States,South Carolina,SC,"Columbia, Sumter"
804,United States,Virginia,VA,"Richmond, Lynchburg, Danville"
805,United States,California,CA,"Thousand Oaks, San Luis Obispo, Lompoc"
806,United States,Texas,TX,"Amarillo, Lubbock"
807,Canada,Ontario,NA,Thunder Bay
808,United States,Hawaii,HI,(All Locations)
809,Dominican Republic,(All Locations),NA,(All Locations)
810,United States,Michigan,MI,"Flint, Port Huron"
812,United States,Indiana,IN,"Terre Haute, Bloomington, New Albany, Evansville"
813,United States,Florida,FL,Tampa
814,United States,Pennsylvania,PA,"Erie, Warren, Altoona, Johnstown"
815,United States,Illinois,IL,"Rickford, Freeport, De Kalb, La Salle"
816,United States,Missouri,MS,"Kansas City, Saint Joseph"
817,United States,Texas,TX,Fort Worth
818,United States,California,CA,"Glendale, San Fernando"
819,Canada,Quebec,NA,"Hull, Sherbrooke"
828,United States,North Carolina,NC,Asheville
830,United States,Texas,TX,Uvalde
831,United States,California,CA,"Salinas, Santa Cruz"
832,United States,Texas,TX,Houston
843,United States,South Carolina,SC,"Charleston, Myrtle Beach, Florence"
845,United States,New York,NY,"Poughkeepsie, Middletown"
847,United States,Illinois,IL,"Waukegan, Des Plaines"
850,United States,Florida,FL,Tallahassee
856,United States,New Jersey,NJ,"Cherry Hill, Vineland"
858,United States,California,CA,"Solano Beach, northern San Diego area"
859,United States,Kentucky,KY,Lexington
860,United States,Connecticut,CT,"Hartford, Norwich"
863,United States,Florida,FL,"Avon Park, Clewiston"
864,United States,South Carolina,SC,"Greenville, Spartanburg, Anderson"
865,United States,Tennessee,TN,Knoxville
866,(All Values),(All Locations),NA,Toll-Free
867,Canada,Northwest Territories,NA,(All Locations)
867,Canada,Nunavut,NA,(All Locations)
867,Canada,Yukon Territory,NA,(All Locations)
868,Trinidad and Tobago,(All Locations),NA,(All Locations)
869,Saint Kitts and Nevis,(All Locations),NA,(All Locations)
870,United States,Arkansas,AR,"Jonesboro, Pine Bluff"
876,Jamaica,(All Locations),NA,(All Locations)
877,(All Values),(All Locations),NA,Toll-Free
880,(All Values),(All Locations),NA,Paid Toll-Free Service (800)
881,(All Values),(All Locations),NA,Paid Toll-Free Service (888)
882,(All Values),(All Locations),NA,Paid Toll-Free Service (877)
888,(All Values),(All Locations),NA,Toll-Free
900,(All Values),(All Locations),NA,Premium Services
901,United States,Tennessee,TN,"Memphis, Jackson, Union City"
902,Canada,Nova Scotia,NA,(All Locations)
902,Canada,Prince Edward Island,NA,(All Locations)
903,United States,Texas,TX,"Tyler, Sherman"
904,United States,Florida,FL,Jacksonville
905,Canada,Ontario,NA,Hamilton area
906,United States,Michigan,MI,"Sault Ste. Marie, Escanaba, Marquette"
907,United States,Alaska,AK,(All Locations)
908,United States,New Jersey,NJ,Washington
909,United States,California,CA,"Pomona, San Bernadino, Temecula"
910,United States,North Carolina,NC,"Fayetteville, Wilmington, Jacksonville"
912,United States,Georgia,GA,"Waycross, Brunswick, Savannah, Vidalia"
913,United States,Kansas,KS,"Kansas City, Overland Park"
914,United States,New York,NY,White Plains
915,United States,Texas,TX,"El Paso, Alpine, Midland, Abilene"
916,United States,California,CA,Sacramento
917,United States,New York,NY,"New York, Bronx, Queens, Brooklyn, Staten Island"
918,United States,Oklahoma,OK,"Tulsa, Mcalester, Bartlesville"
919,United States,North Carolina,NC,"Raleigh, Durham"
920,United States,Wisconsin,WI,"Green Bay, Oshkosh, Sheboygan"
925,United States,California,CA,"Concord, Pleasanton"
931,United States,Tennessee,TN,"Columbia, Manchester, Clarksville, Cookeville"
936,United States,Texas,TX,"Huntsville, Lufkin"
937,United States,Ohio,OH,"Dayton, Springfield, Hillsboro"
940,United States,Texas,TX,"Vernon, Wichita Falls"
941,United States,Florida,FL,"Naples, Fort Meyers"
949,United States,California,CA,"Irvine, Laguna Niguel"
952,United States,Minnesota,MN,Bloomington
954,United States,Florida,FL,Fort Lauderdale
956,United States,Texas,TX,"Mcallen, Brownsville"
970,United States,Colorado,CO,"Grand Junction, Steamboat Springs, Fort Collins"
971,United States,Oregon,OR,"Portland, Salem"
972,United States,Texas,TX,"Dallas, Plano"
973,United States,New Jersey,NJ,"Paterson, Sussex"
978,United States,Massachusetts,MA,"Peabody, Fitchburg"
979,United States,Texas,TX,Wharton
